ADCRef50v,Battery-1,Battery-2,Battery-3,Battery-4,CRC8
4.54,4.37,12.45,0.01,0.01,247
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.44,0.01,0.01,34
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.42,0.01,0.01,32
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.43,0.01,0.01,245
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.43,0.01,0.01,245
4.54,4.37,12.44,0.01,0.01,34
4.54,4.36,12.44,0.01,0.01,13
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.42,0.01,0.01,32
4.54,4.37,12.44,0.01,0.01,34
4.54,4.36,12.44,0.01,0.01,13
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.42,0.01,0.01,32
4.53,4.37,12.42,0.01,0.01,32
4.53,4.35,12.42,0.01,0.01,126
4.54,4.36,12.44,0.01,0.01,13
4.54,4.37,12.44,0.01,0.01,34
4.54,4.36,12.44,0.01,0.01,13
4.53,4.37,12.42,0.01,0.01,32
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.42,0.01,0.01,32
4.54,4.36,12.44,0.01,0.01,13
4.54,4.36,12.44,0.01,0.01,13
4.54,4.36,12.44,0.01,0.01,13
4.53,4.37,12.42,0.01,0.01,32
4.54,4.37,12.44,0.01,0.01,34
4.54,4.36,12.44,0.01,0.01,13
4.54,4.37,12.42,0.01,0.01,238
4.54,4.36,12.44,0.01,0.01,13
4.54,4.37,12.44,0.01,0.01,34
4.54,4.36,12.44,0.01,0.01,13
4.54,4.36,12.44,0.01,0.01,13
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.44,0.01,0.01,13
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.42,0.01,0.01,193
4.54,4.36,12.44,0.01,0.01,13
4.54,4.36,12.44,0.01,0.01,13
4.54,4.37,12.44,0.01,0.01,34
4.53,4.37,12.42,0.01,0.01,32
4.54,4.37,12.44,0.01,0.01,34
